Tumor_Sample_Barcode	APOBECtCa_enrich	BH_Fisher_p-value_tCa	tCa_to_G+tCa_to_T	tCa_MutLoad_MinEstimate	APOBECrtCa_enrich	APOBECytCa_enrich	APOBECytCa_enrich-APOBECrtCa_enrich	rtCa_to_G+rtCa_to_T	ytCa_to_G+ytCa_to_T	ntca+tgan	rtca+tgay	ytca+tgar	ytCa_rtCa_Fisher_p-value	ytCa_rtCa_BH_Fisher_p-value	APOBEC_tCa_enrich_quartile	A3A_or_A3B
SP124273	1.7297340245913	3.86485640352393e-32	504	213	2.29978755990317	1.41460634854173	-0.88518121136144	266	238	9924	4043	5881	2.66639668314688e-08	5.56070588755739e-08	1	A3B
SP124311	1.68867722567252	0	13122	5351	1.66591592933278	1.77932588014346	0.11340995081068	4941	8181	159880	62693	97187	0.000135185906502153	0.000208923673685146	1	A3A
SP124431	1.66865514529585	0	11647	4667	1.64165676393593	1.75943255847812	0.11777579454219	4309	7338	136298	52646	83652	0.000156048414387576	0.000234072621581364	1	A3A
SP124346	1.66738686383804	1.17338625056083e-138	2644	1058	1.82695769512762	1.63888435452136	-0.18807334060626	1116	1528	37417	14811	22606	0.00441539567279918	0.00592592577138837	1	A3B
SP124351	1.62047978927788	4.93832881357169e-35	712	273	1.84740907839665	1.54328040374606	-0.30412867465059	316	396	10318	4127	6191	0.0139685833635841	0.0175900679393281	1	A3B
SP82836	1.61397218849252	1.12698060886622e-211	4635	1763	1.58769732760633	1.70446543351415	0.11676810590782	1744	2891	56856	22348	34508	0.015013325319685	0.0184501106338298	1	A3A
SP124353	1.5505302698665	6.94690140145577e-11	232	82	2.13423159974049	1.22354363740957	-0.91068796233092	127	105	5065	2074	2991	1.53231471266145e-05	2.48089048716616e-05	1	A3B
SP113197	1.54855261847399	9.68873876707331e-16	358	127	2.2159931279024	1.17357805156315	-1.04241507633925	200	158	7211	2894	4317	8.72235426791941e-10	2.16995154957995e-09	1	A3B
SP124281	1.52382284834343	2.92124352356834e-09	207	71	1.96134980353887	1.33008593731308	-0.63126386622579	100	107	5929	2300	3629	0.0046168629673519	0.00611584445025836	1	A3B
SP82532	1.47149830045298	0	22827	7314	1.34694882032965	1.61676648694859	0.26981766661894	7873	14954	304578	117943	186635	5.8345532384828e-43	5.95124430325245e-42	1	A3A
